D.mel FBtr	locus
FBtr0333174	NW_020825207.1_cds_XP_026836195.1_14384
FBtr0333174	NW_020825207.1_cds_XP_026836195.1_14384
FBtr0072454	NW_020825207.1_cds_XP_026836195.1_14384
FBtr0072454	NW_020825207.1_cds_XP_026836195.1_14384
FBtr0070163	NW_020825217.1_cds_XP_026838917.1_22403
FBtr0300792	NW_020825209.1_cds_XP_015008722.1_18813
FBtr0070411	NW_020825209.1_cds_XP_015008722.1_18813
FBtr0112736	NW_020825212.1_cds_XP_001976977.1_21706
FBtr0070836	NW_020825212.1_cds_XP_001977009.1_21773
FBtr0071249	NW_020825209.1_cds_XP_001977408.1_19227
FBtr0071307	NW_020825211.1_cds_XP_001977352.1_21499
FBtr0343030	NW_020825211.1_cds_XP_001977287.1_21575
FBtr0071393	NW_020825211.1_cds_XP_001977287.1_21575
FBtr0071394	NW_020825211.1_cds_XP_001977287.1_21575
FBtr0071506	NW_020825216.1_cds_XP_026838771.1_22264
FBtr0071492	NW_020825216.1_cds_XP_001977217.1_22262
FBtr0073407	NW_020825216.1_cds_XP_015011031.1_22220
FBtr0073408	NW_020825216.1_cds_XP_026838849.1_22221
FBtr0346382	NW_020825216.1_cds_XP_026838849.1_22221
FBtr0073406	NW_020825216.1_cds_XP_015011033.1_22222
FBtr0339836	NW_020825216.1_cds_XP_015011033.1_22222
FBtr0345166	NW_020825216.1_cds_XP_015011020.1_22036
FBtr0073611	NW_020825216.1_cds_XP_015011020.1_22036
FBtr0073609	NW_020825216.1_cds_XP_015011020.1_22036
FBtr0073610	NW_020825216.1_cds_XP_015011020.1_22036
FBtr0073608	NW_020825216.1_cds_XP_015011020.1_22036
FBtr0073575	NW_020825209.1_cds_XP_015010629.1_20863
FBtr0073576	NW_020825209.1_cds_XP_015010629.1_20863
FBtr0073578	NW_020825209.1_cds_XP_001978400.3_20861
FBtr0073577	NW_020825209.1_cds_XP_015010629.1_20863
FBtr0073899	NW_020825209.1_cds_XP_001978194.3_20552
FBtr0074023	NW_020825209.1_cds_XP_001978109.3_20427
FBtr0074392	NW_020825209.1_cds_XP_001977542.1_19443
FBtr0074393	NW_020825209.1_cds_XP_001977543.1_19444
FBtr0340616	NW_020825209.1_cds_XP_001977543.1_19444
FBtr0346625	NW_020825209.1_cds_XP_001977657.1_19634
FBtr0074559	NW_020825209.1_cds_XP_001977657.1_19634
FBtr0340368	NW_020825209.1_cds_XP_001977676.2_19662
FBtr0074622	NW_020825209.1_cds_XP_001977676.2_19662
FBtr0077335	NW_020825209.1_cds_XP_001977862.1_19940
FBtr0077336	NW_020825209.1_cds_XP_001977862.1_19940
FBtr0308243	NW_020825209.1_cds_XP_001977862.1_19940
FBtr0070059	NW_020825209.1_cds_XP_001978707.1_21304
FBtr0070062	NW_020825209.1_cds_XP_001978707.1_21304
FBtr0070061	NW_020825209.1_cds_XP_001978707.1_21304
FBtr0070058	NW_020825209.1_cds_XP_001978707.1_21304
FBtr0070060	NW_020825209.1_cds_XP_001978707.1_21304
FBtr0077998	NW_020825200.1_cds_XP_001968199.1_10278
FBtr0077943	NW_020825200.1_cds_XP_001968285.1_10386
FBtr0301010	NW_020825200.1_cds_XP_001968285.1_10386
FBtr0343844	NW_020825200.1_cds_XP_001968286.3_10387
FBtr0077942	NW_020825200.1_cds_XP_001968286.3_10387
FBtr0329947	NW_020825200.1_cds_XP_001968286.3_10387
FBtr0334760	NW_020825200.1_cds_XP_001968341.2_10465
FBtr0100503	NW_020825200.1_cds_XP_001968341.2_10465
FBtr0335162	NW_020825200.1_cds_XP_001968388.1_10526
FBtr0077803	NW_020825200.1_cds_XP_001968388.1_10526
FBtr0331203	NW_020825200.1_cds_XP_001968414.2_10565
FBtr0112751	NW_020825200.1_cds_XP_001968414.2_10565
FBtr0077619	NW_020825200.1_cds_XP_001968477.1_10644
FBtr0301934	NW_020825200.1_cds_XP_015015532.2_10807
FBtr0300354	NW_020825200.1_cds_XP_015015515.2_10966
FBtr0300354	NW_020825200.1_cds_XP_015015515.2_10966
FBtr0300354	NW_020825200.1_cds_XP_015015515.2_10966
FBtr0300354	NW_020825200.1_cds_XP_015015515.2_10966
FBtr0300354	NW_020825200.1_cds_XP_015015515.2_10966
FBtr0300354	NW_020825200.1_cds_XP_015015515.2_10966
FBtr0346459	NW_020825200.1_cds_XP_026834495.1_11107
FBtr0110802	NW_020825200.1_cds_XP_026834495.1_11107
FBtr0306841	NW_020825200.1_cds_XP_001968848.1_11208
FBtr0344769	NW_020825200.1_cds_XP_001968848.1_11208
FBtr0342609	NW_020825200.1_cds_XP_001968848.1_11208
FBtr0335485	NW_020825200.1_cds_XP_001970171.1_13221
FBtr0079470	NW_020825200.1_cds_XP_001970171.1_13221
FBtr0079624	NW_020825200.1_cds_XP_001970265.1_13393
FBtr0346906	NW_020825200.1_cds_XP_001970266.1_13394
FBtr0079595	NW_020825200.1_cds_XP_001970266.1_13394
FBtr0079715	NW_020825200.1_cds_XP_001970300.2_13459
FBtr0332188	NW_020825200.1_cds_XP_001969255.2_11871
FBtr0079786	NW_020825200.1_cds_XP_001969255.2_11871
FBtr0079959	NW_020825200.1_cds_XP_026835027.1_12099
FBtr0340557	NW_020825200.1_cds_XP_001969898.1_12829
FBtr0080175	NW_020825200.1_cds_XP_001969898.1_12829
FBtr0080158	NW_020825200.1_cds_XP_001969879.1_12796
FBtr0344020	NW_020825200.1_cds_XP_001969879.1_12796
FBtr0300306	NW_020825200.1_cds_XP_015015539.1_12693
FBtr0334137	NW_020825200.1_cds_XP_001969812.1_12668
FBtr0334140	NW_020825200.1_cds_XP_015014447.1_12665
FBtr0334138	NW_020825200.1_cds_XP_015014449.1_12654
FBtr0334142	NW_020825200.1_cds_XP_001969812.1_12668
FBtr0344148	NW_020825200.1_cds_XP_015014447.1_12665
FBtr0344148	NW_020825200.1_cds_XP_015014447.1_12665
FBtr0334135	NW_020825200.1_cds_XP_026834768.1_12655
FBtr0334141	NW_020825200.1_cds_XP_015014447.1_12665
FBtr0334141	NW_020825200.1_cds_XP_015014447.1_12665
FBtr0334139	NW_020825200.1_cds_XP_015014449.1_12654
FBtr0334136	NW_020825200.1_cds_XP_015014447.1_12665
FBtr0334143	NW_020825200.1_cds_XP_001969808.1_12662
FBtr0344447	NW_020825200.1_cds_XP_001969808.1_12662
FBtr0080784	NW_020825200.1_cds_XP_001968976.1_11393
FBtr0080862	NW_020825207.1_cds_XP_001976221.2_15128
FBtr0080864	NW_020825207.1_cds_XP_001976221.2_15128
FBtr0080863	NW_020825207.1_cds_XP_001976221.2_15128
FBtr0342945	NW_020825207.1_cds_XP_001976221.2_15128
FBtr0081221	NW_020825207.1_cds_XP_015012055.1_18236
FBtr0310645	NW_020825207.1_cds_XP_015012058.1_18233
FBtr0081219	NW_020825207.1_cds_XP_015012058.1_18233
FBtr0081220	NW_020825207.1_cds_XP_015012058.1_18233
FBtr0300823	NW_020825207.1_cds_XP_015012055.1_18236
FBtr0331328	NW_020825207.1_cds_XP_001974232.1_18306
FBtr0331330	NW_020825207.1_cds_XP_001974232.1_18306
FBtr0081254	NW_020825207.1_cds_XP_001974232.1_18306
FBtr0331329	NW_020825207.1_cds_XP_001974232.1_18306
FBtr0081308	NW_020825207.1_cds_XP_001974199.1_18361
FBtr0343848	NW_020825207.1_cds_XP_001974186.3_18378
FBtr0345683	NW_020825207.1_cds_XP_001974173.1_18400
FBtr0081378	NW_020825207.1_cds_XP_001974173.1_18400
FBtr0085909	NW_020825285.1_cds_XP_001973969.1_23066
FBtr0070836	NC_045954.1_cds_XP_032580878.1_20624
FBtr0072455	NC_045950.1_cds_XP_002043179.1_8961
FBtr0073984	NC_045954.1_cds_XP_032582070.1_22208
FBtr0074023	NC_045954.1_cds_XP_002045073.2_22279
FBtr0075171	NC_045951.1_cds_XP_032574489.1_12563
FBtr0076003	NC_045951.1_cds_XP_002030245.1_11500
FBtr0077038	NC_045951.1_cds_XP_032575303.1_10210
FBtr0077040	NC_045951.1_cds_XP_002035511.1_10213
FBtr0078003	NC_045949.1_cds_XP_002041618.1_167
FBtr0078333	NC_045951.1_cds_XP_002040741.1_13114
FBtr0078334	NC_045951.1_cds_XP_002040740.2_13113
FBtr0078335	NC_045951.1_cds_XP_002040738.2_13111
FBtr0078482	NC_045951.1_cds_XP_002040898.1_13357
FBtr0079624	NC_045949.1_cds_XP_002036179.2_1696
FBtr0080099	NC_045949.1_cds_XP_032583488.1_2244
FBtr0081308	NC_045949.1_cds_XP_032570307.1_3706
FBtr0081382	NC_045949.1_cds_XP_002042443.1_3772
FBtr0081450	NC_045949.1_cds_XP_002036179.2_1696
FBtr0081538	NC_045952.1_cds_XP_002038709.1_14416
FBtr0081450	NC_045949.1_cds_XP_002036179.2_1696
FBtr0081690	NW_022611044.1_cds_XP_002038601.1_23766
FBtr0082351	NC_045952.1_cds_XP_032576543.1_16624
FBtr0082357	NC_045952.1_cds_XP_032576542.1_16614
FBtr0082362	NC_045952.1_cds_XP_032576543.1_16624
FBtr0082489	NC_045952.1_cds_XP_032576911.1_16446
FBtr0082490	NC_045952.1_cds_XP_032576908.1_16445
FBtr0082491	NC_045952.1_cds_XP_032576911.1_16446
FBtr0082492	NC_045952.1_cds_XP_032576911.1_16446
FBtr0082493	NC_045952.1_cds_XP_032576910.1_16442
FBtr0082494	NC_045952.1_cds_XP_032576910.1_16441
FBtr0082495	NC_045952.1_cds_XP_032576909.1_16441
FBtr0082496	NC_045952.1_cds_XP_032576912.1_16447
FBtr0082497	NC_045952.1_cds_XP_032576908.1_16445
FBtr0082498	NC_045952.1_cds_XP_032576913.1_16440
FBtr0082499	NC_045952.1_cds_XP_032576908.1_16445
FBtr0082500	NC_045952.1_cds_XP_032576909.1_16441
FBtr0082501	NC_045952.1_cds_XP_032576912.1_16447
FBtr0082502	NC_045952.1_cds_XP_032576910.1_16442
FBtr0082503	NC_045952.1_cds_XP_032576911.1_16446
FBtr0082980	NC_045952.1_cds_XP_002031186.1_15963
FBtr0083432	NC_045952.1_cds_XP_002041109.1_15367
FBtr0083993	NC_045952.1_cds_XP_002043431.1_14710
FBtr0084150	NC_045952.1_cds_XP_032578306.1_17342
FBtr0084442	NC_045952.1_cds_XP_002045186.1_17670
FBtr0084914	NC_045952.1_cds_XP_002041303.1_18252
FBtr0084915	NC_045952.1_cds_XP_032577035.1_18251
FBtr0085512	NC_045952.1_cds_XP_032579057.1_18988
FBtr0086927	NC_045950.1_cds_XP_032573050.1_7126
FBtr0086928	NC_045950.1_cds_XP_032573050.1_7126
FBtr0087390	NC_045950.1_cds_XP_002033963.1_6574
FBtr0088122	NC_045950.1_cds_XP_032573066.1_5606
FBtr0091608	NC_045952.1_cds_XP_002031786.1_16843
FBtr0091785	NC_045952.1_cds_XP_002031784.1_16842
FBtr0100106	NC_045949.1_cds_XP_002039172.1_3704
FBtr0100545	NC_045952.1_cds_XP_002032081.2_17261
FBtr0110768	NC_045950.1_cds_XP_032572500.1_7051
FBtr0110769	NC_045949.1_cds_XP_032578160.1_867
FBtr0110770	NC_045952.1_cds_XP_032577467.1_18244
FBtr0110781	NC_045952.1_cds_XP_002031438.1_16316
FBtr0110823	NC_045952.1_cds_XP_032576932.1_14708
FBtr0110871	NC_045952.1_cds_XP_032577832.1_18331
FBtr0112491	NC_045952.1_cds_XP_032578756.1_18752
FBtr0300295	NC_045949.1_cds_XP_032578542.1_657
FBtr0300296	NC_045949.1_cds_XP_032579115.1_702
FBtr0300297	NC_045949.1_cds_XP_032579190.1_704
FBtr0300302	NC_045949.1_cds_XP_032582254.1_721
FBtr0300303	NC_045949.1_cds_XP_032582266.1_722
FBtr0300305	NC_045949.1_cds_XP_032583518.1_1129
FBtr0300306	NC_045949.1_cds_XP_032578399.1_2438
FBtr0300307	NC_045949.1_cds_XP_032578416.1_2437
FBtr0300309	NC_045949.1_cds_XP_032583238.1_2473
FBtr0300311	NC_045949.1_cds_XP_032569727.1_2978
FBtr0300313	NC_045950.1_cds_XP_032571581.1_8960
FBtr0300314	NC_045951.1_cds_XP_032574810.1_10294
FBtr0300316	NC_045951.1_cds_XP_032574863.1_11680
FBtr0300317	NC_045951.1_cds_XP_032574572.1_13106
FBtr0300318	NC_045951.1_cds_XP_032575121.1_13356
FBtr0300322	NC_045952.1_cds_XP_032576290.1_14489
FBtr0300323	NC_045950.1_cds_XP_032571218.1_6528
FBtr0300362	NC_045951.1_cds_XP_032574002.1_10460
FBtr0300363	NC_045951.1_cds_XP_002035705.2_10459
FBtr0300805	NC_045949.1_cds_XP_032579423.1_2245
FBtr0301934	NC_045949.1_cds_XP_032579131.1_705
FBtr0301935	NC_045949.1_cds_XP_032579848.1_1139
FBtr0301936	NC_045949.1_cds_XP_032583239.1_2472
FBtr0301937	NC_045949.1_cds_XP_032583179.1_3399
FBtr0301938	NC_045949.1_cds_XP_032583113.1_3775
FBtr0301939	NC_045951.1_cds_XP_032574640.1_13285
FBtr0301940	NC_045952.1_cds_XP_032578361.1_17289
FBtr0301941	NC_045952.1_cds_XP_032577804.1_18250
FBtr0303428	NC_045950.1_cds_XP_032571651.1_5829
FBtr0303840	NC_045952.1_cds_XP_032578738.1_16315
FBtr0303841	NC_045952.1_cds_XP_002031435.1_16313
FBtr0304045	NC_045949.1_cds_XP_032570274.1_3703
FBtr0304645	NC_045952.1_cds_XP_032578361.1_17289
FBtr0304829	NC_045951.1_cds_XP_032573615.1_9748
FBtr0304876	NC_045954.1_cds_XP_032581813.1_20705
FBtr0304898	NC_045950.1_cds_XP_032572456.1_7692
FBtr0305124	NC_045950.1_cds_XP_032571071.1_4546
FBtr0305483	NC_045949.1_cds_XP_032582276.1_723
FBtr0306696	NC_045952.1_cds_XP_032576913.1_16440
FBtr0306842	NC_045949.1_cds_XP_032569872.1_1118
FBtr0306923	NC_045952.1_cds_XP_032578770.1_18634
FBtr0309516	NC_045952.1_cds_XP_002041108.2_15366
FBtr0333233	NC_045949.1_cds_XP_032579848.1_1139
FBtr0333286	NC_045951.1_cds_XP_002040741.1_13114
FBtr0333383	NC_045951.1_cds_XP_002030245.1_11500
FBtr0334114	NC_045951.1_cds_XP_002040898.1_13357
FBtr0335171	NC_045949.1_cds_XP_032574855.1_478
FBtr0336822	NC_045949.1_cds_XP_032583113.1_3775
FBtr0339130	NC_045949.1_cds_XP_032579423.1_2245
FBtr0339295	NC_045951.1_cds_XP_032574863.1_11680
FBtr0339567	NC_045949.1_cds_XP_002036179.2_1696
FBtr0340000	NC_045950.1_cds_XP_002033963.1_6574
FBtr0342613	NC_045949.1_cds_XP_032583517.1_1127
FBtr0343514	NC_045950.1_cds_XP_032571581.1_8960
FBtr0343681	NC_045949.1_cds_XP_032578890.1_2928
FBtr0344123	NC_045949.1_cds_XP_032583234.1_2470
FBtr0344124	NC_045949.1_cds_XP_032583234.1_2470
FBtr0345323	NC_045952.1_cds_XP_002032081.2_17261
FBtr0345580	NC_045950.1_cds_XP_002043179.1_8961
FBtr0345637	NC_045949.1_cds_XP_032583488.1_2244
FBtr0345686	NC_045949.1_cds_XP_032583179.1_3399
FBtr0345928	NC_045950.1_cds_XP_032572992.1_6924
FBtr0346098	NC_045952.1_cds_XP_032576543.1_16624
FBtr0346457	NC_045949.1_cds_XP_032578160.1_867
FBtr0346540	NC_045951.1_cds_XP_032574572.1_13106
FBtr0346715	NC_045949.1_cds_XP_032569727.1_2978
FBtr0346808	NC_045951.1_cds_XP_032574002.1_10460
FBtr0347196	NC_045950.1_cds_XP_032571651.1_5829
FBtr0300310	
FBtr0304888	
FBtr0310089	
FBtr0333971	
FBtr0339891	
FBtr0344808	
FBtr0078977	NC_045952.1_cds_XP_032577946.1_13746
FBtr0081711	NC_045952.1_cds_XP_002038553.1_14198
FBtr0301268	NC_045952.1_cds_XP_032577608.1_14213
FBtr0301001	NC_045952.1_cds_XP_032577609.1_14214
FBtr0081596	NC_045952.1_cds_XP_002038673.1_14380
FBtr0081591	NC_045952.1_cds_XP_032577627.1_14388
FBtr0300742	NC_045952.1_cds_XP_032576421.1_17094
FBtr0333190	NC_045952.1_cds_XP_032577971.1_17052
FBtr0081973	NC_045952.1_cds_XP_032577971.1_17052
FBtr0334618	NC_045952.1_cds_XP_002031864.1_16931
FBtr0082103	NC_045952.1_cds_XP_002031864.1_16931
FBtr0300319	NC_045952.1_cds_XP_002031504.1_16387
FBtr0082757	NC_045952.1_cds_XP_002031328.1_16151
FBtr0082821	NC_045952.1_cds_XP_002031292.1_16101
FBtr0082888	NC_045952.1_cds_XP_002031251.1_16045
FBtr0082889	NC_045952.1_cds_XP_002031251.1_16045
FBtr0082947	NC_045952.1_cds_XP_002031219.2_16004
FBtr0082948	NC_045952.1_cds_XP_032579068.1_16005
FBtr0082949	NC_045952.1_cds_XP_032579068.1_16005
FBtr0082950	NC_045952.1_cds_XP_002031219.2_16004
FBtr0100277	NC_045952.1_cds_XP_032579068.1_16005
FBtr0083141	NC_045952.1_cds_XP_002031120.1_15865
FBtr0083142	NC_045952.1_cds_XP_002031120.1_15865
FBtr0303831	NC_045952.1_cds_XP_002041096.1_15353
FBtr0083725	NC_045952.1_cds_XP_002038179.1_15077
FBtr0300803	NC_045952.1_cds_XP_002043466.2_14783
FBtr0084128	NC_045952.1_cds_XP_002032101.1_17297
FBtr0084149	NC_045952.1_cds_XP_002032130.1_17341
FBtr0304565	NC_045952.1_cds_XP_002032343.1_17628
FBtr0084434	NC_045952.1_cds_XP_002032364.1_17656
FBtr0084561	NC_045952.1_cds_XP_002032472.1_17821
FBtr0306105	NC_045952.1_cds_XP_002032578.1_18000
FBtr0110870	NC_045952.1_cds_XP_032577805.1_18332
FBtr0085213	NC_045952.1_cds_XP_002041512.1_18576
FBtr0085254	NC_045952.1_cds_XP_002042993.1_18667
FBtr0085260	NC_045952.1_cds_XP_002043002.1_18677
FBtr0336789	NC_045952.1_cds_XP_002037110.1_18750
FBtr0085314	NC_045952.1_cds_XP_002037110.1_18750
FBtr0085313	NC_045952.1_cds_XP_002037111.1_18751
FBtr0085311	NC_045952.1_cds_XP_002037112.1_18753
FBtr0085401	NC_045952.1_cds_XP_002037184.1_18864
FBtr0332431	NC_045952.1_cds_XP_002037184.1_18864
FBtr0089608	NC_045952.1_cds_XP_002037226.1_18919
FBtr0305053	NC_045952.1_cds_XP_002037226.1_18919
FBtr0085611	NC_045952.1_cds_XP_002037338.1_19065
FBtr0346141	NC_045952.1_cds_XP_002037338.1_19065
FBtr0085655	NC_045952.1_cds_XP_002037369.2_19113
FBtr0110859	NC_045952.1_cds_XP_002037369.2_19113
FBtr0345121	NC_045952.1_cds_XP_002037369.2_19113
FBtr0335440	NC_045952.1_cds_XP_002037386.1_19153
FBtr0300962	NC_045952.1_cds_XP_002037386.1_19153
FBtr0085733	NC_045952.1_cds_XP_002037431.1_19212
FBtr0085734	NC_045952.1_cds_XP_002037431.1_19212
FBtr0072943	NC_045951.1_cds_XP_002035095.1_9572
FBtr0073015	NC_045951.1_cds_XP_002035099.1_9577
FBtr0072982	NC_045951.1_cds_XP_002035123.1_9616
FBtr0072983	NC_045951.1_cds_XP_002035123.1_9616
FBtr0332112	NC_045951.1_cds_XP_002035123.1_9616
FBtr0073073	NC_045951.1_cds_XP_002035197.1_9732
FBtr0073139	NC_045951.1_cds_XP_032574532.1_9763
FBtr0077047	NC_045951.1_cds_XP_002035520.1_10222
FBtr0091954	NC_045951.1_cds_XP_002035564.1_10278
FBtr0302931	NC_045951.1_cds_XP_002035564.1_10278
FBtr0076752	NC_045951.1_cds_XP_002029644.1_10586
FBtr0076582	NC_045951.1_cds_XP_002029788.1_10811
FBtr0076398	NC_045951.1_cds_XP_032575688.1_11037
FBtr0076399	NC_045951.1_cds_XP_032575688.1_11037
FBtr0076400	NC_045951.1_cds_XP_032575688.1_11037
FBtr0076401	NC_045951.1_cds_XP_032575688.1_11037
FBtr0330097	NC_045951.1_cds_XP_032575688.1_11037
FBtr0076311	NC_045951.1_cds_XP_002029982.1_11140
FBtr0076256	NC_045951.1_cds_XP_032573802.1_11194
FBtr0076193	NC_045951.1_cds_XP_002030030.1_11225
FBtr0076136	NC_045951.1_cds_XP_002030147.2_11365
FBtr0076136	NC_045951.1_cds_XP_002030147.2_11365
FBtr0075615	NC_045951.1_cds_XP_002030583.1_11999
FBtr0302155	NC_045951.1_cds_XP_032574350.1_12581
FBtr0075116	NC_045951.1_cds_XP_032574911.1_12642
FBtr0075115	NC_045951.1_cds_XP_032574911.1_12642
FBtr0300049	NC_045951.1_cds_XP_002042590.2_12650
FBtr0304702	NC_045951.1_cds_XP_032574021.1_12651
FBtr0304702	NC_045951.1_cds_XP_032574021.1_12651
FBtr0300051	NC_045951.1_cds_XP_002042593.2_12653
FBtr0332651	NC_045951.1_cds_XP_032575935.1_12719
FBtr0075045	NC_045951.1_cds_XP_032575935.1_12719
FBtr0075044	NC_045951.1_cds_XP_032575934.1_12721
FBtr0075042	NC_045951.1_cds_XP_002042646.1_12720
FBtr0075043	NC_045951.1_cds_XP_032575935.1_12719
FBtr0075038	NC_045951.1_cds_XP_002044984.2_12726
FBtr0308781	NC_045951.1_cds_XP_002044984.2_12726
FBtr0110771	NC_045951.1_cds_XP_032574736.1_12739
FBtr0074843	NC_045951.1_cds_XP_002040640.2_12984
FBtr0074843	NC_045951.1_cds_XP_002040640.2_12984
FBtr0078172	NC_045951.1_cds_XP_002040640.2_12984
FBtr0331816	NC_045951.1_cds_XP_002040640.2_12984
FBtr0078370	NC_045951.1_cds_XP_002040828.1_13251
FBtr0332052	NC_045951.1_cds_XP_002040968.1_13466
FBtr0078558	NC_045951.1_cds_XP_002040968.1_13466
FBtr0301802	NC_045951.1_cds_XP_002044643.1_13567
FBtr0333380	NC_045951.1_cds_XP_002044643.1_13567
FBtr0113813	NC_045951.1_cds_XP_002044643.1_13567
FBtr0301797	NC_045951.1_cds_XP_002044643.1_13567
FBtr0301803	NC_045951.1_cds_XP_002044643.1_13567
FBtr0301804	NC_045951.1_cds_XP_002044643.1_13567
FBtr0300357	NC_045950.1_cds_XP_002032661.1_4406
FBtr0309371	NC_045950.1_cds_XP_032572192.1_4407
FBtr0086164	NC_045950.1_cds_XP_032572192.1_4407
FBtr0112770	NC_045950.1_cds_XP_002032705.1_4484
FBtr0113047	NC_045950.1_cds_XP_002032734.2_4544
FBtr0113048	NC_045950.1_cds_XP_032571072.1_4545
FBtr0332995	NC_045950.1_cds_XP_002032736.1_4548
FBtr0113049	NC_045950.1_cds_XP_002032736.1_4548
FBtr0299788	NC_045950.1_cds_XP_002032942.1_4851
FBtr0339346	NC_045950.1_cds_XP_032571600.1_4850
FBtr0301706	NC_045950.1_cds_XP_002033139.2_5188
FBtr0088476	NC_045950.1_cds_XP_002033140.1_5189
FBtr0100088	NC_045950.1_cds_XP_002033141.1_5190
FBtr0088198	NC_045950.1_cds_XP_002033317.1_5521
FBtr0339474	NC_045950.1_cds_XP_002033317.1_5521
FBtr0088161	NC_045950.1_cds_XP_002033384.1_5604
FBtr0088090	NC_045950.1_cds_XP_002033416.1_5645
FBtr0091776	NC_045950.1_cds_XP_002033579.1_5878
FBtr0087854	NC_045950.1_cds_XP_032572273.1_5963
FBtr0087819	NC_045950.1_cds_XP_002033620.1_5968
FBtr0302939	NC_045950.1_cds_XP_032570631.1_5969
FBtr0087818	NC_045950.1_cds_XP_032570633.1_5970
FBtr0306584	NC_045950.1_cds_XP_032570633.1_5970
FBtr0087817	NC_045950.1_cds_XP_002033622.1_5971
FBtr0306581	NC_045950.1_cds_XP_032570637.1_5978
FBtr0306580	NC_045950.1_cds_XP_032570638.1_5976
FBtr0306583	NC_045950.1_cds_XP_032570635.1_5975
FBtr0306579	NC_045950.1_cds_XP_032570634.1_5974
FBtr0337029	NC_045950.1_cds_XP_032570636.1_5973
FBtr0344926	NC_045950.1_cds_XP_032570639.1_5977
FBtr0306582	NC_045950.1_cds_XP_032570634.1_5974
FBtr0087816	NC_045950.1_cds_XP_032570640.1_5972
FBtr0331979	NC_045950.1_cds_XP_032570640.1_5972
FBtr0310155	NC_045950.1_cds_XP_002033660.1_6024
FBtr0087772	NC_045950.1_cds_XP_002033660.1_6024
FBtr0310151	NC_045950.1_cds_XP_002033660.1_6024
FBtr0310152	NC_045950.1_cds_XP_002033660.1_6024
FBtr0310153	NC_045950.1_cds_XP_002033660.1_6024
FBtr0310154	NC_045950.1_cds_XP_002033660.1_6024
FBtr0345942	NC_045950.1_cds_XP_032572460.1_6086
FBtr0310562	NC_045950.1_cds_XP_032572460.1_6086
FBtr0346185	NC_045950.1_cds_XP_002033734.1_6144
FBtr0303819	NC_045950.1_cds_XP_002033734.1_6144
FBtr0087638	NC_045950.1_cds_XP_002033757.2_6177
FBtr0087514	NC_045950.1_cds_XP_002033857.1_6376
FBtr0087420	NC_045950.1_cds_XP_002033932.1_6512
FBtr0339997	NC_045950.1_cds_XP_002033947.1_6536
FBtr0087401	NC_045950.1_cds_XP_002033947.1_6536
FBtr0087284	NC_045950.1_cds_XP_002034010.2_6660
FBtr0345495	NC_045950.1_cds_XP_002034167.2_6928
FBtr0300312	NC_045950.1_cds_XP_002034167.2_6928
FBtr0345494	NC_045950.1_cds_XP_002034169.1_6930
FBtr0087082	NC_045950.1_cds_XP_002034169.1_6930
FBtr0345493	NC_045950.1_cds_XP_002034170.1_6931
FBtr0087081	NC_045950.1_cds_XP_002034170.1_6931
FBtr0087080	NC_045950.1_cds_XP_002034171.1_6932
FBtr0091496	NC_045950.1_cds_XP_002034172.1_6934
FBtr0303024	NC_045950.1_cds_XP_002034172.1_6934
FBtr0087042	NC_045950.1_cds_XP_002034193.1_6974
FBtr0110777	NC_045950.1_cds_XP_002034237.2_7048
FBtr0086919	NC_045950.1_cds_XP_032570090.1_7115
FBtr0086933	NC_045950.1_cds_XP_002034291.1_7134
FBtr0086934	NC_045950.1_cds_XP_002034291.1_7134
FBtr0086935	NC_045950.1_cds_XP_002034291.1_7134
FBtr0086937	NC_045950.1_cds_XP_002034291.1_7134
FBtr0089559	NC_045950.1_cds_XP_002034346.1_7244
FBtr0340276	NC_045950.1_cds_XP_002034346.1_7244
FBtr0086596	NC_045950.1_cds_XP_002034538.1_7525
FBtr0340458	NC_045950.1_cds_XP_032572397.1_7534
FBtr0340457	NC_045950.1_cds_XP_032572396.1_7532
FBtr0340459	NC_045950.1_cds_XP_032572397.1_7534
FBtr0100129	NC_045950.1_cds_XP_032572393.1_7531
FBtr0086594	NC_045950.1_cds_XP_032572392.1_7530
FBtr0086593	NC_045950.1_cds_XP_032572394.1_7529
FBtr0340470	NC_045950.1_cds_XP_002034553.1_7572
FBtr0086510	NC_045950.1_cds_XP_002034553.1_7572
FBtr0304055	NC_045950.1_cds_XP_002034572.1_7599
FBtr0086518	NC_045950.1_cds_XP_002034572.1_7599
FBtr0086327	NC_045950.1_cds_XP_032571778.1_7715
FBtr0340600	NC_045950.1_cds_XP_032571778.1_7715
FBtr0086328	NC_045950.1_cds_XP_002045016.1_7716
FBtr0086342	NC_045950.1_cds_XP_002034628.1_7721
FBtr0086343	NC_045950.1_cds_XP_002034628.1_7721
FBtr0303458	NC_045950.1_cds_XP_002034631.1_7725
FBtr0086337	NC_045950.1_cds_XP_002034631.1_7725
FBtr0086301	NC_045950.1_cds_XP_032572020.1_7766
FBtr0345933	NC_045950.1_cds_XP_002034693.1_7798
FBtr0086216	NC_045950.1_cds_XP_002034693.1_7798
FBtr0071535	NC_045950.1_cds_XP_032571739.1_7955
FBtr0332423	NC_045950.1_cds_XP_032571739.1_7955
FBtr0071536	NC_045950.1_cds_XP_032571739.1_7955
FBtr0071537	NC_045950.1_cds_XP_032571739.1_7955
FBtr0071538	NC_045950.1_cds_XP_032571738.1_7956
FBtr0071539	NC_045950.1_cds_XP_032571738.1_7956
